JURSCODE,COUNTY,STATE,BG2010,ACRES,PAR_ACRES,ZONEAVAIL_ACRES,PCT_ZONEAVAIL_ACRES,RES_ACRES,COMM_ACRES,AG_ACRES,SUM_MAXHU,MAXHU_ACRE,HU2019,HUACRE_2019,HU_GAP
ALLE,Allegany County,PA,240010001001,28443.48489,15592.79,0,0,3311.903,1405.66,6789.494,0,0,638,0.040916347,0
ALLE,Allegany County,PA,240010001002,53300.38453,33547.894,0,0,7483.962,663.241,20829.155,0,0,977,0.029122543,0
ALLE,Allegany County,PA,240010001003,38937.49001,25592.762,0,0,4049.29,2554.414,12973.399,0,0,653,0.025515026,0
ALLE,Allegany County,PA,240010002001,14808.76957,14515.232,0,0,5954.354,23.671,7896.9,0,0,521,0.035893329,0
ALLE,Allegany County,PA,240010002002,11542.31507,8749.171,0,0,2891.998,224.679,5546.774,0,0,555,0.063434581,0
ALLE,Allegany County,PA,240010002003,4529.94369,3756.76,0,0,1114.038,562.323,1459.437,0,0,368,0.09795675,0
ALLE,Allegany County,PA,240010003001,3320.51256,3168.503,0,0,912.73,347.099,1424.936,0,0,561,0.177055221,0
ALLE,Allegany County,PA,240010003002,645.5912,527.583,0,0,432.652,3.312,33.158,0,0,257,0.487127144,0
ALLE,Allegany County,PA,240010003003,1575.9952,1494.723,0,0,622.819,13.383,855.441,0,0,415,0.277643416,0
ALLE,Allegany County,PA,240010004001,1605.31638,1365.607,0,0,582.093,178.371,599.861,0,0,296,0.216753429,0
ALLE,Allegany County,PA,240010004002,713.36959,518.754,0,0,267.675,121.028,110.851,0,0,735,1.416856545,0
ALLE,Allegany County,PA,240010004003,65.13076,46.52,0,0,29.406,15.838,0,0,0,483,10.38263113,0
ALLE,Allegany County,PA,240010005001,276.32493,176.31,0,0,115.541,41.269,0,0,0,876,4.968521354,0
ALLE,Allegany County,PA,240010005002,2555.73772,2414.376,0,0,706.581,794.078,675.903,0,0,225,0.093191781,0
ALLE,Allegany County,PA,240010006001,887.3458,809.069,0,0,462.956,235.912,88.457,0,0,912,1.127221535,0
ALLE,Allegany County,PA,240010006002,122.13051,97.822,0,0,51.189,43.345,0,0,0,537,5.489562675,0
ALLE,Allegany County,PA,240010007001,313.55253,219.968,0,0,101.644,49.429,0,0,0,810,3.682353797,0
ALLE,Allegany County,PA,240010007002,142.38214,101.124,0,0,72.529,22.897,0,0,0,947,9.364740319,0
ALLE,Allegany County,PA,240010008001,723.6291,304.657,0,0,91.127,107.069,31.546,0,0,490,1.60836613,0
ALLE,Allegany County,PA,240010008002,79.84557,48.892,0,0,28.829,19.346,0,0,0,576,11.78106848,0
ALLE,Allegany County,PA,240010010001,143.14389,97.929,0,0,75.166,17.667,0,0,0,712,7.270573579,0
ALLE,Allegany County,PA,240010010002,143.41886,88.298,0,0,9.751,72.714,0,0,0,622,7.044327165,0
ALLE,Allegany County,PA,240010011001,192.95463,140.84,0,0,72.447,53.555,0,0,0,880,6.248224936,0
ALLE,Allegany County,PA,240010012001,778.67663,656.574,0,0,409.459,87.94,95.207,0,0,759,1.156000695,0
ALLE,Allegany County,PA,240010012002,397.71475,239.796,0,0,121.637,45.024,0,0,0,402,1.676424961,0
ALLE,Allegany County,PA,240010012003,612.46196,455.125,0,0,293.272,49.513,68.151,0,0,235,0.516341664,0
ALLE,Allegany County,PA,240010013001,1671.98283,962.358,0,0,499.43,345.859,91.662,0,0,656,0.681659008,0
ALLE,Allegany County,PA,240010013002,730.21201,575.291,0,0,138.946,301.867,0,0,0,364,0.632723265,0
ALLE,Allegany County,PA,240010014011,3084.55239,2446.406,0,0,952.315,62.916,1429.248,0,0,403,0.164731447,0
ALLE,Allegany County,PA,240010014012,2180.36456,1936.078,0,0,685.199,308.958,913.031,0,0,955,0.493265251,0
ALLE,Allegany County,PA,240010014013,4129.94161,3077.259,0,0,1245.523,381.983,1437.645,0,0,481,0.156307935,0
ALLE,Allegany County,PA,240010014021,734.49455,703.581,0,0,468.167,146.772,73.033,0,0,777,1.104350459,0
ALLE,Allegany County,PA,240010015021,5860.8689,4880.57,0,0,1139.608,122.296,3156.372,0,0,984,0.201615795,0
ALLE,Allegany County,PA,240010015031,3042.29518,2809.314,0,0,615.037,17.992,2167.94,0,0,269,0.095752913,0
ALLE,Allegany County,PA,240010015032,1877.59258,1601.669,0,0,277.848,13.023,1294.491,0,0,299,0.186680269,0
ALLE,Allegany County,PA,240010015033,2471.25226,1956.355,0,0,644.823,11.714,1290.165,0,0,320,0.163569495,0
ALLE,Allegany County,PA,240010016001,5141.43641,1688.123,0,0,874.962,79.17,542.254,0,0,764,0.452573657,0
ALLE,Allegany County,PA,240010017001,5421.99749,4122.681,0,0,1292.781,127.251,2701.445,0,0,122,0.029592394,0
ALLE,Allegany County,PA,240010017002,823.32382,644.479,0,0,276.406,225.311,97.493,0,0,663,1.028737942,0
ALLE,Allegany County,PA,240010017003,1606.50624,1274.426,0,0,382.428,110.962,757.231,0,0,691,0.542204883,0
ALLE,Allegany County,PA,240010017004,256.19173,206.667,0,0,76.332,119.74,0,0,0,773,3.740316548,0
ALLE,Allegany County,PA,240010018001,1724.13018,946.789,0,0,434.235,116.514,390.84,0,0,919,0.970649215,0
ALLE,Allegany County,PA,240010018002,370.18047,205.952,0,0,180.194,17.904,0,0,0,383,1.859656619,0
ALLE,Allegany County,PA,240010018003,214.04074,341.549,0,0,38.206,301.581,0,0,0,445,1.302887726,0
ALLE,Allegany County,PA,240010019001,9847.0582,4654.863,0,0,2254.877,455.849,1596.892,0,0,703,0.151024853,0
ALLE,Allegany County,PA,240010019002,6092.4476,4191.399,0,0,2072.815,49.155,2052.432,0,0,523,0.12477934,0
ALLE,Allegany County,PA,240010020001,1994.14279,1755.781,0,0,544.821,203.814,753.879,0,0,831,0.473293651,0
ALLE,Allegany County,PA,240010020002,3075.29097,2557.259,0,0,1399.978,83.486,1065.49,0,0,1178,0.460649469,0
ALLE,Allegany County,PA,240010020003,12105.65203,9615.795,0,0,2530.768,454.839,3695.749,0,0,483,0.050229856,0
ALLE,Allegany County,PA,240010021001,8783.18878,5211.523,0,0,2174.242,101.349,2339.035,0,0,978,0.187661073,0
ALLE,Allegany County,PA,240010021002,6971.35741,6403.808,0,0,1962.12,451.87,3555.909,0,0,573,0.089478011,0
ALLE,Allegany County,PA,240010022001,6213.89847,5797.304,0,0,1676.814,96.826,2080.035,0,0,504,0.086936962,0
ALLE,Allegany County,PA,240010022002,1033.92565,674.855,0,0,310.309,43.663,293.309,0,0,670,0.992805862,0
ALLE,Allegany County,PA,240010022003,7815.57673,6043.561,0,0,1559.921,132.684,3587.439,0,0,747,0.123602624,0
ANNE,Anne Arundel County,PA,240037011011,191.69654,157.586,133.614,0.847879888,145.544,8.01,0,456.84117,2.898995914,303,1.922759636,0.976236278
ANNE,Anne Arundel County,PA,240037011012,354.2237,316.536,237.146,0.749191245,149.817,99.827,60.732,5867.02417,18.53509291,409,1.292112114,17.2429808
ANNE,Anne Arundel County,PA,240037011013,321.85925,281,211.677,0.753298932,227.527,35.704,0,1740.050185,6.192349414,330,1.174377224,5.01797219
ANNE,Anne Arundel County,PA,240037011014,943.42373,887.181,604.851,0.681767306,689.692,1.023,152.313,935.6986566,1.054687439,572,0.644738785,0.409948654
ANNE,Anne Arundel County,PA,240037011021,510.53793,444.3033333,194.1573333,0.436992745,310.1173333,95.156,0,10002.63436,22.5130752,1259,2.833649684,19.67942552
ANNE,Anne Arundel County,PA,240037011022,313.90442,264.066,201.868,0.7644604,181.039,59.487,0,2512.83941,9.515952112,366,1.386017132,8.12993498
ANNE,Anne Arundel County,PA,240037011023,156.56302,114.666,104.789,0.913862871,100.936,13.428,0,1146.143073,9.995491893,780,6.80236513,3.193126763
ANNE,Anne Arundel County,PA,240037011024,257.6283,208.4663333,152.9923333,0.733894682,179.7093333,15.635,0,1052.060583,5.046669005,824,3.952676611,1.093992394
ANNE,Anne Arundel County,PA,240037012001,1551.04851,1407.115,1021.428,0.725902289,865.551,43.435,82.271,2998.328394,2.130833936,1038,0.737679578,1.393154358
ANNE,Anne Arundel County,PA,240037012002,613.72283,468.129,388.733,0.830397177,420.233,46.395,0,1210.440291,2.585698153,692,1.478225019,1.107473134
ANNE,Anne Arundel County,PA,240037012003,471.77016,388.839,317.405,0.816289004,355.612,26.828,0,1163.328003,2.99179867,850,2.185994718,0.805803953
ANNE,Anne Arundel County,PA,240037012004,989.18979,987.248,821.875,0.832490924,575.531,394.39,0,4309.802156,4.365470637,839,0.849837123,3.515633514
ANNE,Anne Arundel County,PA,240037013001,4485.38433,4336.211,2799.722,0.645660924,1463.841,307.243,1939.166,1173.13759,0.270544397,587,0.135371641,0.135172756
ANNE,Anne Arundel County,PA,240037013002,5025.73116,5169.693,3366.675,0.651233062,3091.959,72.563,1638.418,671.3519027,0.129863012,688,0.133083338,-0.003220326
ANNE,Anne Arundel County,PA,240037013003,5680.3859,5418.86,3302.122,0.609375773,1519.597,15.165,3753.99,274.7247421,0.050697885,442,0.081566972,-0.030869086
ANNE,Anne Arundel County,PA,240037013004,9786.70365,9455.209,5192.706,0.549189976,2741.608,209.913,5927.584,543.2551817,0.05745565,1166,0.123318268,-0.065862618
ANNE,Anne Arundel County,PA,240037014001,4556.41494,4462.769,1609.448,0.360638877,841.859,441.454,1156.196,1516.498204,0.339811046,436,0.097697192,0.242113854
ANNE,Anne Arundel County,PA,240037014002,9063.03614,8494.903,5709.799,0.672144108,2397.599,300.402,5453.764,868.078302,0.102188136,877,0.103238377,-0.001050241
ANNE,Anne Arundel County,PA,240037021001,2082.06427,1869.733,1307.373,0.699229783,1122.507,199.506,203.622,1545.198966,0.826427606,987,0.527882858,0.298544747
ANNE,Anne Arundel County,PA,240037021002,426.54595,376.111,272.8,0.725317792,361.388,10.253,0,1000.490803,2.660094501,431,1.1459383,1.514156201
ANNE,Anne Arundel County,PA,240037021003,2280.75553,2169.118,1578.271,0.727609563,1848.766,87.056,168.124,974.618136,0.449315407,566,0.260935551,0.188379856
ANNE,Anne Arundel County,PA,240037021004,601.45516,484.965,339.628,0.700314456,429.082,3.535,11.981,940.3712642,1.939049754,483,0.995948161,0.943101593
ANNE,Anne Arundel County,PA,240037021005,186.13549,155.762,93.981,0.603362823,152.885,0,0,759.2991691,4.874739469,361,2.317638448,2.55710102
ANNE,Anne Arundel County,PA,240037022041,291.26443,233.191,185.848,0.796977585,207.432,18.917,0,1244.828987,5.3382377,760,3.259130927,2.079106773
ANNE,Anne Arundel County,PA,240037022042,332.26082,268.345,229.55,0.855428646,119.99,141.396,0,6395.005365,23.83128199,795,2.96260411,20.86867788
ANNE,Anne Arundel County,PA,240037022051,333.36894,189.533,166.215,0.876971293,167.245,8.719,0,1115.402532,5.885004362,927,4.890968855,0.994035507
ANNE,Anne Arundel County,PA,240037022052,529.04869,393.786,106.141,0.269539801,101.925,252.227,0,13791.15362,35.02195005,992,2.519134758,32.50281529
ANNE,Anne Arundel County,PA,240037022053,286.92227,342.467,141.306,0.412612018,121.935,19.306,0,1665.955595,4.86457263,456,1.331515153,3.533057476
ANNE,Anne Arundel County,PA,240037022061,475.67813,407.288,293.577,0.720809354,183.087,185.906,0,991.9611191,2.435527487,949,2.330046552,0.105480935
ANNE,Anne Arundel County,PA,240037022062,89.23826,74.943,54.454,0.726605554,74.723,0,0,986.7802365,13.1670768,825,11.00836636,2.15871044
ANNE,Anne Arundel County,PA,240037022063,318.13528,284.464,85.064,0.299032567,151.877,30.124,0,793.7900402,2.790476265,665,2.337729906,0.452746359
ANNE,Anne Arundel County,PA,240037022081,227.65923,187.575,106.473,0.567628948,150.411,22.391,0,1869.927182,9.968957388,1992,10.6197521,-0.650794711
ANNE,Anne Arundel County,PA,240037022082,804.67561,676.243,345.133,0.510368314,638.519,17.054,0,1809.82128,2.676288376,915,1.353063913,1.323224462
ANNE,Anne Arundel County,PA,240037022091,124.78049,98.388,78.412,0.79696711,97.195,0,0,491.94,5,343,3.486197504,1.513802496
ANNE,Anne Arundel County,PA,240037022092,186.56434,150.561,107.995,0.717284024,124.847,25.351,0,1593.488996,10.58367702,418,2.776283367,7.807393655
ANNE,Anne Arundel County,PA,240037022093,232.56796,203.012,92.609,0.456175004,91.171,35.766,0,2719.331371,13.39492922,719,3.541662562,9.853266657
